"","X.1","X","Address","Room","Model","Year","Area","Price","Type","lon","lat","street_name","blk/postalcode","postal_code","postal_2dgt","Postal_District","Region"
"50",50,50,"  Blk 666B Punggol Drive Singapore","5-Room","Premium Apartment"," Built-2016","113 sqm / $542 psf(Built)",660000,"Resale",103.9153018,1.4019207,"666b punggol dr"," singapore 822666"," singapore 822666","82","19","North-East"
"51",51,51,"  Blk 515C The Premiere @ Tampines Singapore","5-Room","Model A"," Built-2009","109 sqm / $664 psf(Built)",780000,"Resale",103.9388706,1.3566593,"515 tampines central 7"," singapore 524515"," singapore 524515","52","18","East"
"52",52,52,"  Blk 6 Holland Close Singapore","3-Room","Improved"," Built-1974","65 sqm / $540 psf(Built)",378000,"Resale",103.7954772,1.3071143,"6 holland cl"," block 6"," singapore 271006","27","10","Central"
"53",53,53,"  Blk 673B Edgefield Plains Singapore","4-Room","Model A"," Built-2015","90 sqm / $490 psf(Built)",475000,"Resale",103.9110911,1.4069768,"673b edgefield plains"," singapore 822673"," singapore 822673","82","19","North-East"
"54",54,54,"  Blk 525C Pasir Ris Street 51 Singapore","4-Room","Improved"," Built-2015","93 sqm / $487 psf(Built)",488000,"Resale",103.9474365,1.3701025,"525c pasir ris street 51"," singapore 513525"," singapore 513525","51","18","East"
"55",55,55,"  Blk 155 Lorong 1 Toa Payoh Singapore","4-Room","Model A"," Built-1999","101 sqm / $651 psf(Built)",708000,"Resale",103.84558,1.3327228,"155 lor 1 toa payoh"," block 155"," singapore 310155","31","12","Central"
"56",56,56,"  Blk 89 Dawson Road Singapore","4-Room","Standard"," Built-2016","95 sqm / $928 psf(Built)",950000,"Resale",103.8118373,1.2953964,"89 dawson rd"," singapore 142089"," singapore 142089","14","03","Central"
"57",57,57,"  Blk 311B Trivelis Singapore","4-Room","Dbss"," Built-2014","81 sqm / $860 psf(Built)",750000,"Resale",103.7655694,1.3191667,"311a clementi ave 4"," singapore 121311"," singapore 121311","12","05","West"
"58",58,58,"  Blk 213C Punggol Walk Singapore","5-Room","Improved"," Built-2015","113 sqm / $468 psf(Built)",570000,"Resale",103.8987968,1.4008405,"213c punggol walk"," singapore 828792"," singapore 828792","82","19","North-East"
"59",59,59,"  Blk 10A Tiong Bahru View Singapore","4-Room","Model A"," Built-2016","92 sqm / $994 psf(Built)",985000,"Resale",103.8286125,1.2869556,"9a boon tiong rd"," singapore 162009"," singapore 162009","16","03","Central"
"60",60,60,"  Blk 2 Jalan Bukit Merah Singapore","3-Room","Improved"," Built-1975","63 sqm / $424 psf(Built)",288000,"Resale",103.8068191,1.2866982,"2 jalan bukit merah"," singapore 150002"," singapore 150002","15","03","Central"
"61",61,61,"  Blk 220 Serangoon Avenue 4 Singapore","4-Room","New Generation"," Built-1984","93 sqm / $549 psf(Built)",550000,"Resale",103.87222,1.3586973,"220 serangoon ave 4"," block 220"," singapore 550220","55","19","North-East"
"62",62,62,"  Blk 111A Depot Road Singapore","5-Room","Model A"," Built-2006","115 sqm / $614 psf(Built)",760000,"Resale",103.8088168,1.2811278,"111a depot rd"," block 111a"," singapore 101111","10","04","Central"
"63",63,63,"  Blk 28B Dover Crescent Singapore","4-Room","Model A"," Built-2012","88 sqm / $726 psf(Built)",688000,"Resale",103.7819406,1.3053608,"28b dover cres"," singapore 132028"," singapore 132028","13","05","West"
"64",64,64,"  Blk 17B Circuit Road Singapore","4-Room","Model A"," Built-2016","93 sqm / $779 psf(Built)",780000,"Resale",103.8890392,1.3299833,"17b circuit rd"," singapore 372017"," singapore 372017","37","13","Central"
"65",65,65,"  Blk 289D Punggol Place Singapore","5-Room","Others"," Built-2013","115 sqm / $525 psf(Built)",650000,"Resale",103.903694,1.401994,"289d punggol pl"," singapore 824289"," singapore 824289","82","19","North-East"
"66",66,66,"  Blk 139 Potong Pasir Avenue 3 Singapore","3-Room","Model A"," Built-1984","74 sqm / $483 psf(Built)",385000,"Resale",103.8661493,1.3332643,"139 potong pasir ave 3"," block 139"," singapore 350139","35","13","Central"
"67",67,67,"  Blk 310C Punggol Walk Singapore","5-Room","Premium Apartment"," Built-2016","112 sqm / $526 psf(Built)",635000,"Resale",103.8999638,1.4096731,"310 c punggol walk"," singapore 822310"," singapore 822310","82","19","North-East"
"68",68,68,"  Blk 619A Punggol Drive Singapore","4-Room","Model A"," Built-2013","93 sqm / $498 psf(Built)",499000,"Resale",103.9115057,1.4024529,"619a punggol dr"," singapore 821619"," singapore 821619","82","19","North-East"
"69",69,69,"  Blk 202A Compassvale Drive Singapore","HDB Executive","Apartment"," Built-2001","130 sqm / $420 psf(Built)",588000,"Resale",103.893254,1.38875,"202a compassvale dr"," singapore 541202"," singapore 541202","54","19","North-East"
"70",70,70,"  Blk 70 Lorong 4 Toa Payoh Singapore","3-Room","Improved"," Built-1969","64 sqm / $403 psf(Built)",278000,"Resale",103.8522881,1.3346601,"70 lor 4 toa payoh"," block 70"," singapore 310070","31","12","Central"
"71",71,71,"  Blk 472A Fernvale Rivergrove Singapore","5-Room","Design & Built"," Built-2016","113 sqm / $475 psf(Built)",578000,"Resale",103.8805131,1.3966499,"470b fernvale link"," singapore 792470"," singapore 792470","79","28","North-East"
"72",72,72,"  Blk 131B Kim Tian Road Singapore","4-Room","Model A"," Built-2002","91 sqm / $702 psf(Built)",688000,"Resale",103.8282723,1.2809123,"131b kim tian rd"," singapore 162131"," singapore 162131","16","03","Central"
"73",73,73,"  Blk 87 Dawson Road Singapore","3-Room","New Generation"," Built-2015","65 sqm / $954 psf(Built)",668000,"Resale",103.8099048,1.2960052,"87 dawson rd"," singapore 141087"," singapore 141087","14","03","Central"
"74",74,74,"  Blk 515C The Premiere @ Tampines Singapore","5-Room","Improved"," Built-2008","109 sqm / $664 psf(Built)",780000,"Resale",103.9388706,1.3566593,"515 tampines central 7"," singapore 524515"," singapore 524515","52","18","East"
"75",75,75,"  Blk 88 Redhill Close Singapore","4-Room","Model A"," Built-1995","111 sqm / $702 psf(Built)",838888,"Resale",103.8185242,1.2859206,"88 redhill cl"," block 88"," singapore 150088","15","03","Central"
"76",76,76,"  Blk 611 Hougang Avenue 8 Singapore","4-Room","Simplified"," Built-1986","84 sqm / $420 psf(Built)",380000,"Resale",103.8846305,1.3700555,"611 hougang ave 8"," block 611"," singapore 530611","53","19","North-East"
"77",77,77,"  Blk 428 Clementi Avenue 3 Singapore","3-Room","Standard"," Built-1978","66 sqm / $507 psf(Built)",360000,"Resale",103.7631773,1.3125457,"428 clementi ave 3"," block 428"," singapore 120428","12","05","West"
"78",78,78,"  Blk 310C Punggol Walk Singapore","5-Room","Model A"," Built-2016","112 sqm / $538 psf(Built)",650000,"Resale",103.8999638,1.4096731,"310 c punggol walk"," singapore 822310"," singapore 822310","82","19","North-East"
"79",79,79,"  Blk 183C Boon Lay Avenue Singapore","4-Room","Model A"," Built-2015","92 sqm / $484 psf(Built)",480000,"Resale",103.7092363,1.3485931,"183c boon lay ave"," singapore 643183"," singapore 643183","64","22","West"
"80",80,80,"  Blk 495B Tampines Street 43 Singapore","3-Room","Built-1994",NA,"147 sqm / $403 psf(Built)",638888,"Resale",103.9513128,1.3628324,"495b tampines street 43"," block 495b"," singapore 521495","52","18","East"
"81",81,81,"  Blk 117 Edgefield Plains Singapore","5-Room","Model A"," Built-2003","112 sqm / $402 psf(Built)",485000,"Resale",103.9064393,1.3953168,"117 edgefield plains"," singapore 820117"," singapore 820117","82","19","North-East"
"82",82,82,"  Blk 672A Klang Lane Singapore","5-Room","Improved"," Built-2002","105 sqm / $495 psf(Built)",560000,"Resale",103.8524905,1.3085134,"672a klang ln"," singapore 211672"," singapore 211672","21","08","Central"
"83",83,83,"  Blk 87 Dawson Road Singapore","3-Room","New Generation"," Built-2015","65 sqm / $954 psf(Built)",668000,"Resale",103.8099048,1.2960052,"87 dawson rd"," singapore 141087"," singapore 141087","14","03","Central"
