"","flat_type","town","ID","Town/Name","Project Name","End of MOP","Launch Date","Year Completed","Total Units","lon","lat","Type","num_of_units","price1"
"141","2-Room","SEMBAWANG","M67","Sembawang","Canberra Vista",2029,"11 Feb 2020",2024,692,103.8293357,1.4399446,"MOP",692,251805.807412281
"142","2-Room","SEMBAWANG","M68","Sembawang","EastLink I @ Canberra",2024,"27 May 2015",2019,229,103.8302401,1.4452047,"MOP",229,251805.807412281
"143","2-Room","SEMBAWANG","M69","Sembawang","EastBrook @ Canberra",2022,"30 May 2013",2017,140,103.8329686,1.4499034,"MOP",140,251805.807412281
"144","2-Room","SEMBAWANG","M70","Sembawang","EastCrown @ Canberra",2022,"26 Mar 2014",2017,312,103.8318826,1.444703,"MOP",312,251805.807412281
"146","2-Room","SENGKANG","M71","Sengkang","Fernvale Glades",2026,"14 Nov 2017",2021,533,103.8707038,1.3949256,"MOP",533,259973.861891176
"147","2-Room","SENGKANG","M72","Sengkang","Fernvale Dew",2027,"22 May 2018",2022,526,103.8701991,1.3898356,"MOP",526,259973.861891176
"148","2-Room","SENGKANG","M73","Sengkang","Anchorvale Village",2027,"14 Nov 2017",2022,104,103.888033,1.3965247,"MOP",104,259973.861891176
"149","2-Room","SENGKANG","M74","Sengkang","Rivervale Shores",2027,"01 Aug 2017",2022,1074,103.9098991,1.38712,"MOP",1074,259973.861891176
"150","2-Room","SENGKANG","M75","Sengkang","Fernvale Lea",2020,"12 Jan 2012",2015,100,103.8780162,1.3959613,"MOP",100,259973.861891176
"155","2-Room","SENGKANG","M76","Sengkang","Fernvale Riverwalk",2022,"30 Jul 2013",2017,121,103.8803066,1.3914157,"MOP",121,259973.861891176
"156","2-Room","SENGKANG","M77","Sengkang","Fernvale Vines",2028,"12 Feb 2019",2023,437,103.8766905,1.3983676,"MOP",437,259973.861891176
"157","2-Room","SENGKANG","M78","Sengkang","Anchorvale Plains",2025,"24 Feb 2016",2020,448,103.8851063,1.3929584,"MOP",448,259973.861891176
"159","2-Room","SENGKANG","M79","Sengkang","Fernvale Woods",2024,"17 Nov 2015",2019,607,103.8709559,1.3913936,"MOP",607,259973.861891176
"160","2-Room","SENGKANG","M80","Sengkang","Anchorvale Fields",2023,"25 Nov 2014",2018,224,103.9018617,1.3855816,"MOP",224,259973.861891176
"169","2-Room","TAMPINES","M81","Tampines","Tampines GreenSpring",2028,"12 Nov 2019",2023,156,103.9405828,1.3546125,"MOP",156,265602.466189189
"173","2-Room","TAMPINES","M82","Tampines","Tampines GreenCourt",2027,"14 Nov 2017",2022,192,103.9418589,1.363855,"MOP",192,265602.466189189
"174","2-Room","TAMPINES","M83","Tampines","Tampines GreenGem",2028,"13 Nov 2018",2023,160,103.9356845,1.3435212,"MOP",160,265602.466189189
"184","2-Room","TENGAH","M84","Tengah","Garden Vines @ Tengah",2028,"12 Nov 2019",2023,418,103.7317692,1.3611945,"MOP",418,261843.4087
"185","2-Room","TENGAH","M85","Tengah","Plantation Grange",2027,"12 Nov 2019",2022,346,103.7308252,1.3554331,"MOP",346,261843.4087
"186","2-Room","TENGAH","M86","Tengah","Plantation Village",2028,"12 Nov 2019",2023,426,103.7340544,1.3585237,"MOP",426,261843.4087
"187","2-Room","TENGAH","M87","Tengah","Plantation Acres",2027,"22 May 2019",2022,543,103.7308145,1.3555189,"MOP",543,261843.4087
"188","2-Room","TENGAH","M88","Tengah","Parc Residences @ Tengah",2030,"12 Aug 2020",2025,480,103.7308145,1.3555189,"MOP",480,261843.4087
"189","2-Room","TENGAH","M89","Tengah","Plantation Grove",2028,"13 Nov 2018",2023,522,103.7308145,1.3555189,"MOP",522,261843.4087
"190","2-Room","TENGAH","M90","Tengah","Garden Vale @ Tengah",2028,"22 May 2019",2023,464,103.7333249,1.3598323,"MOP",464,261843.4087
"191","2-Room","TOA PAYOH","M91","Toa Payoh","Toa Payoh Ridge",2030,"11 Feb 2020",2025,165,103.8433925,1.3390926,"MOP",165,229102.504948101
"194","2-Room","TOA PAYOH","M92","Toa Payoh","Kim Keat Ripples",2029,"11 Feb 2020",2024,150,103.8585033,1.3335284,"MOP",150,229102.504948101
"201","2-Room","WOODLANDS","M93","Woodlands","Marsiling Greenview",2023,"22 May 2014",2018,289,103.7765789,1.4351462,"MOP",289,266880.828913462
"204","2-Room","WOODLANDS","M94","Woodlands","Champions Bliss",2029,"12 Aug 2020",2024,150,103.7858113,1.4410489,"MOP",150,266880.828913462
"205","2-Room","WOODLANDS","M95","Woodlands","Woodlands Glen",2022,"22 Jan 2014",2017,300,103.7987432,1.4310337,"MOP",300,266880.828913462
"206","2-Room","WOODLANDS","M96","Woodlands","Admiralty Grove",2022,"26 Nov 2013",2017,252,103.8037955,1.4379932,"MOP",252,266880.828913462
"207","2-Room","WOODLANDS","M97","Woodlands","UrbanVille @ Woodlands",2031,"12 Aug 2020",2026,696,103.7889597,1.4381922,"MOP",696,266880.828913462
"210","2-Room","WOODLANDS","M98","Woodlands","Champions Green",2028,"22 May 2019",2023,342,103.790016,1.4272453,"MOP",342,266880.828913462
"211","2-Room","WOODLANDS","M99","Woodlands","Woodlands Glade",2026,"06 Feb 2018",2021,285,103.8023954,1.4495841,"MOP",285,266880.828913462
"212","2-Room","WOODLANDS","M100","Woodlands","Marsiling Grove",2027,"18 May 2017",2022,493,103.7745925,1.4367209,"MOP",493,266880.828913462
"215","2-Room","YISHUN","M101","Yishun","Blossom Spring @ Yishun",2023,"25 Nov 2014",2018,260,103.8502523,1.4272274,"MOP",260,271825.564021739
"217","2-Room","YISHUN","M102","Yishun","Meadow Spring @ Yishun",2023,"25 Nov 2014",2018,182,103.8524679,1.4249349,"MOP",182,271825.564021739
"218","2-Room","YISHUN","M103","Yishun","Vine Grove @ Yishun",2021,"30 Jul 2013",2016,180,103.8413116,1.4188334,"MOP",180,271825.564021739
"219","2-Room","YISHUN","M104","Yishun","Melody Spring @ Yishun 1",2026,"28 Aug 2018",2021,282,103.8540588,1.4266597,"MOP",282,271825.564021739
"221","2-Room","YISHUN","M105","Yishun","Park Grove @ Yishun",2022,"19 Jul 2014",2017,120,103.8434644,1.4215242,"MOP",120,271825.564021739
"222","2-Room","YISHUN","M106","Yishun","Forest Spring @ Yishun",2026,"18 May 2017",2021,320,103.8524002,1.4258525,"MOP",320,271825.564021739
"223","2-Room","YISHUN","M107","Yishun","Valley Spring @ Yishun",2025,"17 Aug 2016",2020,416,103.8513727,1.4288169,"MOP",416,271825.564021739
"225","2-Room","YISHUN","M108","Yishun","Saraca Breeze @ Yishun",2022,"26 Sep 2013",2017,84,103.8443098,1.4158811,"MOP",84,271825.564021739
"226","2-Room","YISHUN","M109","Yishun","Fern Grove @ Yishun",2022,"26 Mar 2014",2017,288,103.8420054,1.4205609,"MOP",288,271825.564021739
