"","Room","Price","Region"
"181","5-Room",1068888,"Central"
"182","4-Room",538888,"North-East"
"183","HDB Executive",1080000,"North-East"
"184","HDB Executive",810000,"Central"
"185","4-Room",510000,"Central"
"186","4-Room",460000,"North-East"
"187","3-Room",425000,"North-East"
"188","5-Room",518000,"North-East"
"189","5-Room",865000,"East"
"190","5-Room",520000,"North-East"
"191","5-Room",660000,"West"
"192","4-Room",5e+05,"North-East"
"193","4-Room",399000,"North-East"
"194","4-Room",499000,"North-East"
"195","5-Room",538888,"East"
"196","4-Room",545000,"North-East"
"197","4-Room",648000,"Central"
"198","5-Room",750000,"North-East"
"199","4-Room",538000,"North-East"
"200","3-Room",378000,"Central"
"201","HDB Executive",648000,"West"
"202","4-Room",737999,"East"
"203","5-Room",528000,"West"
"204","5-Room",560000,"Central"
"205","5-Room",630000,"West"
"206","Multi-Gen/Jumbo",860000,"North-East"
"207","3-Room",550000,"North-East"
"208","4-Room",988000,"Central"
"209","4-Room",568888,"North"
"210","4-Room",540000,"East"
"211","3-Room",428888,"Central"
"212","3-Room",350000,"North-East"
"213","5-Room",579999,"North-East"
"214","4-Room",875000,"Central"
"216","5-Room",568000,"North-East"
"217","5-Room",8e+05,"East"
"218","4-Room",550000,"North-East"
"219","5-Room",780000,"North-East"
"220","3-Room",526000,"North-East"
"221","5-Room",680000,"North-East"
"222","5-Room",632000,"Central"
"223","HDB Executive",738888,"North-East"
"224","4-Room",480000,"North-East"
"225","5-Room",788000,"Central"
"226","4-Room",648000,"Central"
"227","3-Room",420000,"East"
"228","5-Room",480000,"North-East"
"229","3-Room",360000,"East"
"230","5-Room",640000,"North-East"
"231","3-Room",388000,"Central"
"232","5-Room",738000,"East"
"233","4-Room",7e+05,"Central"
"234","4-Room",5e+05,"North-East"
"235","5-Room",595999,"Central"
"236","5-Room",505000,"West"
"237","4-Room",540000,"East"
"238","5-Room",675000,"Central"
"239","4-Room",888000,"Central"
"240","4-Room",688000,"Central"
"241","HDB Executive",740000,"West"
"242","5-Room",828000,"Central"
"243","5-Room",9e+05,"Central"
"244","5-Room",750000,"Central"
"245","4-Room",849000,"Central"
"246","5-Room",528000,"East"
"247","4-Room",950000,"Central"
"248","5-Room",610000,"Central"
"249","5-Room",499000,"North-East"
"250","4-Room",575000,"North-East"
"251","5-Room",6e+05,"North-East"
"252","4-Room",650000,"East"
"253","4-Room",455000,"North-East"
"254","HDB Executive",560000,"West"
"255","5-Room",6e+05,"North-East"
"256","5-Room",7e+05,"North-East"
"257","5-Room",425000,"North"
"258","5-Room",650000,"East"
"259","2-Room",220000,"Central"
"260","5-Room",720000,"North-East"
"261","5-Room",608000,"East"
"262","5-Room",545000,"Central"
"263","5-Room",1080000,"Central"
"264","4-Room",790000,"West"
"265","HDB Executive",668000,"East"
"266","4-Room",4e+05,"North-East"
"267","5-Room",659999,"North-East"
"268","4-Room",545000,"North-East"
"269","4-Room",570000,"North-East"
"270","4-Room",6e+05,"North-East"
"271","3-Room",385000,"Central"
"272","4-Room",399000,"North-East"
"273","4-Room",620000,"West"
"274","3-Room",308000,"North-East"
"275","4-Room",450000,"North-East"
"276","3-Room",520000,"West"
"277","3-Room",585000,"East"
"278","4-Room",6e+05,"North-East"
"279","4-Room",8e+05,"Central"
"280","4-Room",935000,"Central"
"281","3-Room",380000,"Central"
"282","5-Room",686000,"Central"
"283","4-Room",938000,"Central"
"284","5-Room",730000,"Central"
"285","5-Room",528000,"West"
"286","5-Room",560000,"Central"
"287","3-Room",3e+05,"North-East"
"288","4-Room",765000,"Central"
"289","4-Room",650000,"East"
"290","4-Room",373000,"East"
"291","5-Room",780000,"North-East"
"292","5-Room",588000,"North-East"
"293","4-Room",480000,"West"
"294","3-Room",520000,"East"
"295","5-Room",530000,"West"
"296","5-Room",450000,"North"
"297","HDB Executive",660000,"North-East"
"298","4-Room",522000,"North-East"
"299","4-Room",570000,"North-East"
"300","HDB Executive",980000,"North-East"
"301","5-Room",618000,"North-East"
"302","HDB Executive",599000,"West"
"303","4-Room",498888,"North-East"
"304","5-Room",485000,"North-East"
"305","3-Room",468000,"Central"
"306","4-Room",485000,"North-East"
"307","5-Room",525000,"Central"
"308","3-Room",369000,"North-East"
"309","4-Room",820000,"Central"
"310","4-Room",898000,"Central"
"311","4-Room",649000,"North-East"
"312","4-Room",788000,"Central"
"313","4-Room",550000,"North-East"
"314","3-Room",399000,"East"
"315","4-Room",699000,"Central"
"316","5-Room",565000,"East"
"317","4-Room",538000,"North-East"
"318","4-Room",368000,"West"
"319","5-Room",650000,"East"
"320","5-Room",680000,"North-East"
"321","5-Room",680000,"North-East"
"322","4-Room",450000,"West"
"323","5-Room",950000,"Central"
"324","4-Room",595000,"East"
"325","HDB Executive",560000,"West"
"326","5-Room",699000,"North-East"
"327","HDB Executive",728000,"East"
"328","5-Room",599000,"East"
"329","3-Room",468000,"Central"
"330","3-Room",428888,"Central"
"331","4-Room",728000,"Central"
"332","3-Room",460000,"East"
"333","4-Room",650000,"North-East"
"334","3-Room",320000,"West"
"335","HDB Executive",638000,"East"
"336","5-Room",595000,"North-East"
"337","5-Room",950000,"Central"
"338","3-Room",285000,"West"
"339","5-Room",650000,"East"
"340","4-Room",680000,"North-East"
"341","4-Room",480000,"North-East"
"342","5-Room",6e+05,"North-East"
"343","5-Room",649000,"East"
"344","3-Room",390000,"East"
"345","4-Room",860000,"Central"
"346","5-Room",528000,"North-East"
"347","4-Room",548000,"North-East"
"348","4-Room",838000,"Central"
"349","4-Room",397000,"East"
"350","3-Room",388000,"Central"
"351","4-Room",578000,"Central"
"352","5-Room",8e+05,"East"
"353","5-Room",460000,"North-East"
"354","4-Room",430000,"East"
"355","5-Room",515000,"North-East"
"356","4-Room",760000,"Central"
"357","4-Room",899000,"Central"
"358","3-Room",280000,"West"
"359","5-Room",951000,"Central"
"360","HDB Executive",738888,"West"
"361","4-Room",435000,"East"
"362","HDB Executive",648000,"West"
"363","4-Room",9e+05,"Central"
"364","5-Room",575000,"North-East"
"365","5-Room",860000,"Central"
"366","5-Room",768000,"Central"
"367","5-Room",528000,"North-East"
"368","5-Room",790000,"East"
"369","4-Room",558000,"North-East"
"370","HDB Executive",620000,"North-East"
"371","4-Room",599000,"Central"
"372","5-Room",680000,"East"
"373","4-Room",628000,"Central"
"374","4-Room",760000,"East"
"375","4-Room",518000,"Central"
"376","4-Room",5e+05,"North-East"
"377","5-Room",850000,"East"
"378","5-Room",899000,"Central"
"379","4-Room",526000,"Central"
"380","5-Room",560000,"Central"
"381","4-Room",468000,"West"
"382","4-Room",438000,"North-East"
"383","5-Room",720000,"North-East"
"384","HDB Executive",628000,"North-East"
"385","4-Room",628000,"East"
"386","HDB Executive",668000,"East"
"387","5-Room",685000,"North-East"
"388","4-Room",415000,"East"
"389","4-Room",570000,"West"
"390","4-Room",398000,"East"
"391","5-Room",579999,"North-East"
"392","4-Room",499000,"North-East"
"393","4-Room",820000,"Central"
"394","3-Room",410000,"East"
"395","5-Room",498000,"North-East"
"396","5-Room",838000,"Central"
"397","5-Room",455000,"East"
"398","HDB Executive",850000,"East"
"399","3-Room",4e+05,"North-East"
