"","Room","Price","Region"
"869","3-Room",365000,"East"
"870","4-Room",467888,"North-East"
"871","3-Room",699000,"Central"
"872","5-Room",488000,"North-East"
"873","3-Room",3e+05,"North-East"
"874","3-Room",380000,"East"
"875","4-Room",430000,"East"
"876","3-Room",418000,"Central"
"877","5-Room",789000,"North-East"
"878","HDB Executive",698000,"North-East"
"880","5-Room",450000,"North"
"881","5-Room",640000,"North-East"
"882","4-Room",595000,"West"
"883","3-Room",619000,"West"
"884","4-Room",570000,"North-East"
"885","4-Room",788000,"Central"
"886","HDB Executive",648000,"West"
"887","5-Room",830000,"Central"
"889","4-Room",699000,"Central"
"890","4-Room",728000,"Central"
"891","HDB Executive",650000,"East"
"892","HDB Executive",728000,"East"
"893","5-Room",450000,"North-East"
"894","5-Room",1080000,"West"
"895","4-Room",420000,"West"
"896","4-Room",395000,"East"
"897","5-Room",680000,"North-East"
"898","5-Room",6e+05,"North-East"
"899","5-Room",438000,"North-East"
"900","5-Room",8e+05,"Central"
"901","4-Room",330000,"West"
"902","5-Room",420000,"North"
"903","5-Room",695000,"North-East"
"904","4-Room",618000,"North-East"
"905","HDB Executive",850000,"Central"
"906","HDB Executive",930000,"North-East"
"907","4-Room",495000,"East"
"908","5-Room",660000,"North-East"
"909","4-Room",788000,"Central"
"910","4-Room",658000,"Central"
"911","5-Room",570000,"East"
"912","4-Room",699000,"North-East"
"913","HDB Executive",550000,"North"
"914","5-Room",950000,"Central"
"916","3-Room",310000,"Central"
"917","5-Room",678000,"North-East"
"918","5-Room",618000,"East"
"919","4-Room",620000,"West"
"920","HDB Executive",8e+05,"North-East"
"921","3-Room",388000,"Central"
"922","5-Room",410000,"North"
"923","4-Room",558000,"North-East"
"924","4-Room",820000,"Central"
"925","4-Room",6e+05,"North-East"
"926","5-Room",550000,"North-East"
"927","5-Room",888000,"East"
"928","4-Room",535000,"East"
"929","4-Room",650000,"East"
"930","4-Room",499000,"Central"
"931","5-Room",650000,"North-East"
"932","4-Room",430000,"East"
"933","4-Room",7e+05,"Central"
"934","5-Room",560000,"North-East"
"935","4-Room",7e+05,"Central"
"937","5-Room",525000,"North-East"
"938","HDB Executive",850000,"North-East"
"939","4-Room",528000,"East"
"940","4-Room",680000,"North-East"
"941","HDB Executive",685000,"West"
"942","3-Room",290000,"Central"
"943","4-Room",595000,"North-East"
"944","Multi-Gen/Jumbo",7e+05,"North"
"945","HDB Executive",628000,"North-East"
"946","HDB Executive",668000,"East"
"947","5-Room",699000,"Central"
"948","3-Room",390000,"East"
"949","5-Room",1108000,"Central"
"950","3-Room",355000,"Central"
"951","5-Room",868000,"Central"
"952","4-Room",688000,"East"
"953","4-Room",438000,"North-East"
"954","4-Room",860000,"Central"
"955","4-Room",397000,"East"
"957","5-Room",790000,"East"
"958","5-Room",718888,"East"
"959","4-Room",415000,"East"
"960","4-Room",565000,"North-East"
"961","HDB Executive",570000,"North"
"962","5-Room",5e+05,"East"
"963","HDB Executive",850000,"Central"
"964","5-Room",1250000,"Central"
"965","3-Room",388000,"Central"
"966","4-Room",830000,"Central"
"967","3-Room",348000,"West"
"969","3-Room",360000,"East"
"970","4-Room",380000,"North-East"
"971","4-Room",400888,"North-East"
"972","5-Room",730000,"North-East"
"973","4-Room",420000,"North-East"
"974","4-Room",450000,"North-East"
"975","4-Room",515000,"East"
"976","4-Room",660000,"Central"
"977","4-Room",760000,"Central"
"978","4-Room",508000,"North-East"
"979","4-Room",6e+05,"Central"
"980","HDB Executive",930000,"North-East"
"981","4-Room",398000,"North-East"
"982","HDB Executive",610000,"North-East"
"984","4-Room",415000,"Central"
"985","4-Room",6e+05,"North-East"
"986","4-Room",376000,"East"
"987","4-Room",660000,"North-East"
"988","5-Room",450000,"West"
"989","5-Room",790000,"Central"
"990","4-Room",416000,"North-East"
"991","4-Room",870000,"Central"
"992","HDB Executive",605000,"East"
"993","4-Room",350000,"North"
"994","4-Room",468000,"East"
"995","5-Room",795000,"Central"
"996","HDB Executive",1100000,"North-East"
"997","4-Room",790000,"Central"
"998","5-Room",555000,"North-East"
"1000","5-Room",750000,"North-East"
"1001","3-Room",530000,"East"
"1002","4-Room",370000,"North"
"1003","5-Room",680000,"Central"
"1004","4-Room",6e+05,"North-East"
"1005","5-Room",690000,"East"
"1006","4-Room",550000,"North-East"
"1007","HDB Executive",788888,"East"
"1008","Multi-Gen/Jumbo",860000,"North-East"
"1009","3-Room",3e+05,"Central"
"1010","5-Room",750000,"Central"
"1011","3-Room",640000,"Central"
"1012","4-Room",4e+05,"West"
"1013","5-Room",590000,"West"
"1014","4-Room",759000,"Central"
"1015","HDB Executive",768000,"East"
"1016","4-Room",530000,"North-East"
"1017","5-Room",648000,"Central"
"1018","3-Room",320000,"North-East"
"1020","4-Room",570000,"North-East"
"1021","5-Room",450000,"North-East"
"1022","HDB Executive",980000,"North-East"
"1023","4-Room",405000,"North-East"
"1024","3-Room",290000,"Central"
"1025","HDB Executive",638888,"East"
"1026","HDB Executive",768000,"East"
"1027","5-Room",838000,"Central"
"1028","HDB Executive",680000,"North-East"
"1029","3-Room",315000,"Central"
"1030","4-Room",550000,"East"
"1031","5-Room",640000,"North-East"
"1032","4-Room",728000,"Central"
"1033","HDB Executive",650000,"West"
"1034","4-Room",450000,"East"
"1035","4-Room",650000,"East"
"1036","3-Room",340000,"Central"
"1037","3-Room",298000,"Central"
"1038","4-Room",560000,"West"
"1039","3-Room",3e+05,"Central"
"1040","3-Room",398000,"Central"
"1041","4-Room",695000,"East"
"1042","5-Room",680000,"North-East"
"1043","HDB Executive",650000,"North-East"
"1044","5-Room",569000,"North-East"
"1045","3-Room",350000,"Central"
"1046","4-Room",788000,"Central"
"1047","4-Room",450000,"West"
"1048","5-Room",438000,"North-East"
"1049","5-Room",620000,"North-East"
"1050","HDB Executive",698000,"North-East"
"1051","5-Room",490000,"East"
"1052","4-Room",680000,"Central"
"1053","5-Room",545000,"Central"
"1054","5-Room",1138800,"Central"
"1055","Multi-Gen/Jumbo",728000,"North"
"1056","HDB Executive",680000,"North"
"1057","4-Room",735000,"East"
"1058","Multi-Gen/Jumbo",1080000,"North-East"
"1059","3-Room",398000,"Central"
"1060","3-Room",308000,"East"
"1061","4-Room",750000,"Central"
"1062","4-Room",535000,"North-East"
"1063","5-Room",560000,"North-East"
"1064","5-Room",490000,"East"
"1065","4-Room",480000,"North-East"
"1066","5-Room",825000,"North-East"
"1067","5-Room",788000,"North-East"
"1068","5-Room",680000,"North-East"
"1069","5-Room",445000,"North-East"
"1070","4-Room",368000,"West"
"1071","5-Room",525000,"Central"
"1073","3-Room",286000,"Central"
"1074","3-Room",330000,"North-East"
"1076","4-Room",485000,"West"
"1077","4-Room",420000,"North-East"
"1078","4-Room",415000,"North-East"
"1079","5-Room",6e+05,"North-East"
"1080","4-Room",479000,"East"
"1081","5-Room",768000,"North-East"
"1082","5-Room",720000,"North-East"
"1083","4-Room",470000,"North-East"
"1084","5-Room",928000,"Central"
"1085","4-Room",740000,"North-East"
"1086","4-Room",860000,"Central"
"1087","4-Room",650000,"North-East"
"1089","5-Room",518000,"West"
"1090","HDB Executive",650000,"West"
"1091","4-Room",890000,"Central"
"1092","4-Room",1198000,"Central"
"1093","4-Room",378000,"West"
"1094","4-Room",538000,"North-East"
"1095","HDB Executive",950000,"North-East"
"1096","HDB Executive",668000,"East"
"1097","HDB Executive",560000,"North-East"
"1098","5-Room",1250000,"Central"
"1099","3-Room",388000,"Central"
"1100","4-Room",699000,"North-East"
"1101","3-Room",365000,"East"
"1102","3-Room",320000,"Central"
"1103","4-Room",680000,"Central"
"1104","3-Room",280000,"North"
"1105","5-Room",680000,"North-East"
"1106","3-Room",340000,"East"
"1107","HDB Executive",628000,"North-East"
"1108","4-Room",628000,"East"
"1110","5-Room",450000,"West"
"1111","5-Room",580000,"North-East"
"1112","HDB Executive",569000,"North-East"
"1113","3-Room",526000,"North-East"
"1114","Multi-Gen/Jumbo",705000,"North"
"1115","5-Room",640000,"North-East"
"1116","4-Room",540000,"Central"
"1117","5-Room",815000,"East"
"1118","4-Room",849000,"Central"
"1119","5-Room",595000,"North-East"
"1120","5-Room",598000,"North-East"
"1121","3-Room",368000,"East"
"1122","HDB Executive",558000,"West"
"1123","4-Room",360000,"North"
"1124","HDB Executive",849000,"Central"
"1125","4-Room",650000,"Central"
"1126","3-Room",478000,"Central"
"1127","4-Room",490000,"North-East"
"1129","5-Room",580000,"West"
"1130","4-Room",550888,"Central"
"1131","4-Room",720000,"Central"
"1132","4-Room",468000,"East"
"1133","4-Room",969969,"Central"
"1134","4-Room",420000,"North-East"
"1135","5-Room",570000,"North-East"
"1136","5-Room",6e+05,"North-East"
"1137","4-Room",365000,"Central"
"1138","5-Room",688000,"North-East"
"1139","3-Room",306000,"East"
"1140","4-Room",540000,"Central"
"1141","4-Room",785000,"North-East"
"1142","4-Room",928000,"Central"
"1143","4-Room",525000,"North-East"
"1144","5-Room",538888,"East"
"1145","4-Room",849000,"Central"
"1146","3-Room",288000,"Central"
"1147","5-Room",5e+05,"East"
"1148","HDB Executive",850000,"Central"
"1149","HDB Executive",648000,"East"
"1150","4-Room",430000,"Central"
"1151","4-Room",468000,"North-East"
"1152","5-Room",668000,"North-East"
"1153","3-Room",378000,"Central"
"1154","4-Room",5e+05,"North-East"
"1155","4-Room",499000,"Central"
"1156","5-Room",670000,"North-East"
"1157","HDB Executive",680000,"North"
"1158","5-Room",5e+05,"Central"
"1159","4-Room",6e+05,"East"
"1160","5-Room",599000,"Central"
"1161","3-Room",585000,"East"
"1162","5-Room",598000,"East"
"1163","HDB Executive",850000,"North-East"
"1164","4-Room",530000,"East"
"1165","4-Room",810000,"Central"
"1166","3-Room",3e+05,"Central"
"1167","5-Room",8e+05,"Central"
"1168","4-Room",480000,"North-East"
"1170","5-Room",550000,"North-East"
"1171","5-Room",450000,"West"
"1172","4-Room",488000,"North-East"
"1173","HDB Executive",8e+05,"East"
"1174","5-Room",728000,"North-East"
"1175","3-Room",388000,"Central"
"1177","5-Room",888000,"Central"
"1178","5-Room",838000,"Central"
"1179","5-Room",558888,"East"
"1180","5-Room",699000,"North-East"
"1181","3-Room",330000,"North-East"
"1182","4-Room",515000,"North-East"
"1183","4-Room",490000,"West"
"1184","3-Room",460000,"Central"
"1185","5-Room",750000,"North-East"
"1186","3-Room",3e+05,"Central"
"1187","5-Room",650000,"North-East"
"1188","5-Room",745000,"Central"
"1189","5-Room",850000,"West"
"1190","3-Room",388000,"Central"
"1191","HDB Executive",580000,"North"
"1192","5-Room",560000,"North-East"
"1194","3-Room",580000,"West"
"1195","5-Room",788000,"Central"
"1196","4-Room",660000,"Central"
"1197","3-Room",460000,"North-East"
"1198","4-Room",440000,"North-East"
"1199","4-Room",618000,"North-East"
"1200","3-Room",315000,"East"
"1201","5-Room",638000,"North-East"
"1202","4-Room",630000,"East"
"1203","5-Room",520000,"West"
"1204","3-Room",388000,"West"
"1205","5-Room",450000,"East"
"1206","4-Room",625000,"East"
"1207","3-Room",318000,"Central"
"1208","3-Room",450000,"East"
"1209","4-Room",570000,"North-East"
"1210","5-Room",530000,"West"
"1211","4-Room",8e+05,"West"
"1212","3-Room",718000,"Central"
"1213","HDB Executive",650000,"East"
"1214","4-Room",610000,"Central"
"1215","3-Room",628000,"Central"
"1216","4-Room",585000,"North-East"
"1217","4-Room",489000,"Central"
"1218","2-Room",280000,"Central"
"1219","5-Room",690000,"North-East"
"1220","HDB Executive",610000,"North-East"
"1221","5-Room",710000,"East"
"1222","4-Room",6e+05,"East"
"1223","3-Room",360000,"West"
"1224","3-Room",340000,"Central"
"1225","5-Room",568000,"Central"
"1226","HDB Executive",648888,"West"
"1227","4-Room",445000,"North-East"
"1228","4-Room",575000,"North-East"
"1229","5-Room",612000,"North-East"
"1230","HDB Executive",680000,"North"
"1231","3-Room",675000,"Central"
"1232","4-Room",528000,"North-East"
"1233","3-Room",348000,"North-East"
"1235","5-Room",750000,"Central"
"1237","5-Room",868000,"Central"
"1238","4-Room",415000,"West"
"1239","4-Room",849000,"Central"
"1240","3-Room",468000,"Central"
"1241","3-Room",250000,"Central"
"1242","4-Room",430000,"North-East"
"1243","5-Room",830000,"Central"
"1244","3-Room",355000,"North-East"
"1245","4-Room",7e+05,"Central"
"1246","4-Room",648000,"Central"
"1247","HDB Executive",680000,"West"
"1248","4-Room",450000,"Central"
"1249","3-Room",3e+05,"Central"
"1250","5-Room",560000,"North-East"
"1251","HDB Executive",930000,"North-East"
"1252","4-Room",450000,"North-East"
"1253","5-Room",720000,"North-East"
"1254","4-Room",528000,"East"
"1255","4-Room",450000,"West"
"1256","5-Room",530000,"North-East"
"1257","5-Room",648000,"Central"
"1258","5-Room",520000,"West"
"1259","4-Room",598000,"Central"
"1260","HDB Executive",648000,"West"
"1261","3-Room",728000,"Central"
"1262","3-Room",320000,"West"
"1263","4-Room",560000,"West"
"1264","4-Room",570000,"North-East"
"1266","4-Room",860000,"Central"
"1267","3-Room",418000,"Central"
"1268","4-Room",490000,"North-East"
"1269","5-Room",490000,"East"
"1270","5-Room",650000,"North-East"
"1271","4-Room",480000,"North-East"
"1272","5-Room",788000,"North-East"
"1275","4-Room",735000,"East"
"1276","3-Room",285000,"West"
"1277","3-Room",3e+05,"East"
"1278","HDB Executive",558000,"West"
"1279","4-Room",538000,"North-East"
"1280","4-Room",498000,"North-East"
"1281","HDB Executive",630000,"East"
"1282","3-Room",360000,"Central"
"1283","3-Room",398000,"North-East"
"1284","4-Room",430000,"North-East"
"1286","4-Room",480000,"North-East"
"1287","5-Room",560000,"North-East"
"1288","3-Room",3e+05,"East"
"1289","3-Room",888888,"East"
"1290","5-Room",653000,"North-East"
"1291","HDB Executive",637999,"East"
"1292","4-Room",548000,"North-East"
"1293","5-Room",648000,"North-East"
"1294","4-Room",950000,"Central"
"1295","5-Room",6e+05,"West"
"1296","4-Room",788000,"Central"
"1297","4-Room",320000,"North"
"1298","5-Room",728000,"North-East"
"1299","5-Room",680000,"North-East"
"1300","5-Room",585000,"East"
"1301","3-Room",320000,"West"
"1302","5-Room",668000,"North-East"
"1303","4-Room",499000,"North-East"
"1304","5-Room",788000,"North-East"
"1306","5-Room",1150000,"Central"
"1307","3-Room",3e+05,"North-East"
"1308","HDB Executive",828000,"West"
"1309","5-Room",1e+06,"North-East"
"1310","5-Room",858000,"Central"
"1311","5-Room",760000,"North-East"
"1312","4-Room",499999,"North-East"
"1313","3-Room",630000,"Central"
"1314","5-Room",420000,"North"
"1315","4-Room",460000,"North-East"
"1316","4-Room",425000,"North"
"1317","4-Room",825000,"Central"
"1318","3-Room",398000,"North-East"
"1319","4-Room",428000,"North-East"
"1320","5-Room",660000,"West"
"1321","5-Room",595000,"North-East"
"1322","4-Room",515000,"North-East"
"1323","4-Room",728000,"East"
"1324","HDB Executive",950000,"North-East"
"1325","4-Room",860000,"Central"
"1326","5-Room",870000,"East"
"1327","5-Room",588000,"East"
"1328","HDB Executive",813000,"West"
"1329","4-Room",538888,"North-East"
"1330","4-Room",435000,"East"
"1331","HDB Executive",820000,"West"
"1332","4-Room",499000,"North-East"
"1333","4-Room",820000,"Central"
"1334","3-Room",278000,"North"
"1335","HDB Executive",8e+05,"North-East"
"1336","5-Room",5e+05,"Central"
"1337","3-Room",888888,"East"
"1338","5-Room",560000,"North"
"1339","4-Room",430000,"East"
"1341","4-Room",610000,"Central"
"1342","4-Room",6e+05,"Central"
"1343","5-Room",8e+05,"North-East"
"1344","5-Room",625000,"North-East"
"1345","4-Room",390000,"North-East"
"1346","4-Room",7e+05,"Central"
"1347","5-Room",838000,"Central"
"1348","5-Room",688000,"North-East"
"1349","4-Room",475000,"East"
"1350","4-Room",465000,"North-East"
"1351","4-Room",810000,"Central"
"1352","3-Room",368000,"Central"
"1353","4-Room",890000,"Central"
"1354","5-Room",730000,"North-East"
"1355","4-Room",750000,"Central"
"1356","4-Room",570000,"Central"
"1357","Multi-Gen/Jumbo",769000,"North"
"1359","4-Room",720000,"Central"
"1360","HDB Executive",520000,"West"
"1361","3-Room",340000,"East"
"1362","4-Room",515000,"East"
"1364","4-Room",420000,"North-East"
"1365","5-Room",650000,"East"
"1366","HDB Executive",828000,"East"
"1367","4-Room",550000,"North-East"
"1368","4-Room",468888,"North-East"
"1369","4-Room",490000,"East"
"1370","3-Room",4e+05,"East"
"1371","HDB Executive",850000,"East"
"1372","HDB Executive",648000,"East"
"1373","HDB Executive",1e+06,"East"
"1374","3-Room",368000,"East"
"1375","5-Room",738000,"East"
"1376","HDB Executive",760000,"West"
"1377","HDB Executive",580000,"North-East"
"1378","4-Room",690000,"Central"
"1379","4-Room",450000,"West"
"1380","4-Room",538000,"North-East"
"1381","HDB Executive",650000,"North-East"
"1382","5-Room",505000,"North-East"
"1383","3-Room",515000,"East"
"1384","5-Room",838000,"Central"
"1385","5-Room",450000,"East"
"1386","5-Room",558888,"East"
"1387","3-Room",378000,"Central"
"1389","4-Room",400888,"North-East"
"1390","5-Room",950000,"Central"
"1391","4-Room",449000,"West"
"1392","4-Room",6e+05,"North-East"
"1393","HDB Executive",950000,"Central"
"1394","4-Room",455000,"East"
"1396","4-Room",510000,"North-East"
"1397","4-Room",475000,"North-East"
"1398","5-Room",505000,"North"
"1399","4-Room",580000,"Central"
"1400","HDB Executive",615000,"West"
"1401","5-Room",850000,"Central"
"1402","4-Room",618000,"North-East"
"1403","5-Room",1200000,"Central"
"1404","4-Room",450000,"North-East"
"1405","4-Room",950000,"Central"
"1406","4-Room",535000,"North-East"
"1407","4-Room",420000,"East"
"1408","4-Room",480000,"North-East"
"1409","4-Room",385000,"West"
"1410","HDB Executive",648000,"West"
"1411","5-Room",1190000,"Central"
"1412","4-Room",538000,"North-East"
"1413","5-Room",6e+05,"North-East"
"1414","3-Room",520000,"East"
"1415","5-Room",530000,"West"
"1416","HDB Executive",660000,"North-East"
"1417","5-Room",8e+05,"Central"
"1418","4-Room",585000,"North-East"
"1419","4-Room",390000,"East"
"1420","4-Room",415000,"Central"
"1421","5-Room",760000,"North-East"
"1422","5-Room",888000,"Central"
"1423","HDB Executive",665000,"North-East"
"1424","5-Room",525000,"Central"
"1425","4-Room",768000,"West"
"1426","4-Room",488000,"West"
"1427","5-Room",1190000,"Central"
"1428","4-Room",450000,"East"
"1429","5-Room",788888,"North-East"
"1430","5-Room",438000,"North-East"
"1431","5-Room",668000,"North-East"
"1432","5-Room",620000,"North-East"
"1433","3-Room",438000,"Central"
"1434","3-Room",328000,"East"
"1435","5-Room",612000,"North-East"
"1436","3-Room",4e+05,"Central"
"1438","HDB Executive",680000,"West"
"1439","4-Room",7e+05,"Central"
"1440","4-Room",450000,"West"
"1441","4-Room",768000,"West"
"1442","4-Room",690000,"Central"
"1443","5-Room",478888,"North"
"1444","4-Room",649000,"North-East"
"1445","3-Room",348000,"North-East"
"1446","4-Room",650000,"East"
"1447","4-Room",430000,"North-East"
"1448","5-Room",665000,"North-East"
"1449","3-Room",328000,"East"
"1450","4-Room",655000,"East"
"1451","3-Room",320000,"North-East"
"1452","5-Room",550000,"West"
"1453","4-Room",6e+05,"North-East"
"1454","4-Room",518000,"Central"
"1455","5-Room",8e+05,"Central"
"1456","HDB Executive",599000,"West"
"1457","5-Room",630000,"West"
"1458","4-Room",658000,"Central"
"1459","3-Room",318000,"East"
"1460","5-Room",550000,"West"
"1461","4-Room",850000,"Central"
"1462","HDB Executive",910000,"Central"
"1463","3-Room",5e+05,"East"
"1464","HDB Executive",599000,"West"
"1465","4-Room",560000,"West"
"1466","5-Room",620000,"North-East"
"1467","3-Room",360000,"East"
"1468","5-Room",680000,"North-East"
"1469","5-Room",760000,"North-East"
"1470","5-Room",632000,"Central"
"1471","4-Room",538000,"North-East"
"1472","3-Room",318000,"North"
"1473","4-Room",458000,"West"
"1474","3-Room",460000,"East"
"1475","3-Room",398000,"North-East"
"1477","5-Room",550000,"North-East"
"1478","4-Room",570000,"Central"
"1479","HDB Executive",798000,"North-East"
"1480","5-Room",575000,"North-East"
"1481","3-Room",379000,"Central"
"1482","HDB Executive",810000,"Central"
"1483","4-Room",483000,"North-East"
"1484","4-Room",467888,"North-East"
"1485","5-Room",580000,"North-East"
"1486","5-Room",1188888,"Central"
"1487","4-Room",660000,"East"
"1488","4-Room",760000,"West"
"1489","4-Room",430000,"East"
"1490","3-Room",390000,"West"
"1491","3-Room",350000,"East"
"1493","5-Room",688000,"East"
"1494","4-Room",380000,"North"
"1495","4-Room",7e+05,"Central"
"1496","4-Room",538000,"North-East"
"1497","HDB Executive",599000,"West"
"1498","3-Room",270000,"East"
"1499","5-Room",770000,"Central"
"1500","4-Room",825000,"Central"
"1501","5-Room",450000,"West"
"1502","4-Room",528000,"East"
"1503","4-Room",333000,"North"
"1504","3-Room",278000,"North-East"
"1505","4-Room",510000,"North-East"
"1506","5-Room",430000,"West"
"1507","Multi-Gen/Jumbo",788000,"Central"
"1508","5-Room",850000,"North-East"
"1509","4-Room",525000,"North-East"
"1510","4-Room",849000,"Central"
"1511","4-Room",438000,"North-East"
"1512","4-Room",849000,"Central"
"1513","4-Room",860000,"West"
"1514","4-Room",838000,"Central"
"1515","5-Room",650000,"North-East"
"1516","3-Room",735000,"Central"
"1517","4-Room",510000,"North-East"
"1518","2-Room",240000,"North-East"
"1519","3-Room",398000,"East"
"1520","4-Room",415000,"North-East"
"1521","4-Room",450000,"East"
"1522","4-Room",578000,"North-East"
"1523","4-Room",570000,"North-East"
"1524","4-Room",5e+05,"North-East"
"1525","3-Room",329999,"East"
"1528","4-Room",788000,"Central"
"1529","5-Room",718888,"East"
"1530","4-Room",799000,"Central"
"1531","4-Room",475000,"East"
"1532","5-Room",768000,"East"
"1533","3-Room",365000,"East"
"1534","4-Room",450000,"West"
"1535","5-Room",670000,"North-East"
"1536","HDB Executive",680000,"North"
"1537","4-Room",625000,"East"
"1538","4-Room",538000,"North-East"
"1539","5-Room",420000,"North"
"1540","4-Room",428000,"North-East"
"1541","3-Room",268000,"West"
"1542","3-Room",498000,"East"
"1544","4-Room",480000,"North-East"
"1545","5-Room",1050000,"Central"
"1546","HDB Executive",628000,"East"
"1547","4-Room",868000,"Central"
"1548","4-Room",650000,"East"
"1549","4-Room",880000,"North"
"1550","3-Room",735000,"Central"
"1551","4-Room",450000,"East"
"1552","5-Room",5e+05,"Central"
"1553","4-Room",750000,"East"
"1554","4-Room",450000,"West"
"1555","3-Room",470000,"East"
"1556","HDB Executive",738888,"West"
"1558","4-Room",375000,"North-East"
"1559","4-Room",660000,"North-East"
"1560","5-Room",630000,"North-East"
"1561","HDB Executive",698888,"West"
"1562","3-Room",299000,"Central"
"1563","4-Room",450000,"West"
"1564","5-Room",549000,"North-East"
"1565","4-Room",595000,"North-East"
"1566","5-Room",530000,"West"
"1568","3-Room",999000,"Central"
"1569","3-Room",280000,"West"
"1570","5-Room",482000,"West"
"1571","5-Room",588000,"East"
"1572","4-Room",480000,"North-East"
"1573","HDB Executive",628000,"East"
"1574","5-Room",868000,"Central"
"1575","3-Room",398000,"East"
"1576","4-Room",548000,"North-East"
"1577","3-Room",735000,"Central"
"1578","4-Room",399000,"East"
"1579","4-Room",459500,"North-East"
"1580","4-Room",410000,"North-East"
"1582","5-Room",440000,"North"
"1583","HDB Executive",1080000,"North-East"
"1584","4-Room",790000,"Central"
"1585","4-Room",849000,"Central"
"1586","4-Room",799000,"Central"
"1587","5-Room",560000,"Central"
"1588","4-Room",394000,"East"
"1589","4-Room",630000,"East"
"1590","3-Room",365000,"West"
"1591","5-Room",450000,"West"
"1592","5-Room",668000,"North-East"
"1593","4-Room",720000,"Central"
"1594","5-Room",928800,"Central"
"1595","3-Room",335000,"East"
"1596","5-Room",795000,"Central"
"1597","4-Room",535000,"Central"
"1598","5-Room",455000,"East"
"1599","3-Room",495000,"East"
"1600","5-Room",719000,"North-East"
"1601","4-Room",850000,"Central"
"1603","5-Room",728000,"North-East"
"1604","Multi-Gen/Jumbo",780000,"East"
"1605","3-Room",5e+05,"Central"
"1606","4-Room",375000,"West"
"1607","4-Room",6e+05,"West"
"1608","4-Room",565000,"North-East"
"1609","HDB Executive",680000,"West"
"1610","4-Room",750000,"Central"
"1611","5-Room",870000,"Central"
"1612","5-Room",880000,"Central"
"1613","5-Room",928000,"Central"
"1614","4-Room",468000,"North-East"
"1615","5-Room",520000,"North-East"
"1616","5-Room",520000,"North-East"
"1617","4-Room",468000,"East"
"1618","4-Room",968000,"Central"
"1619","HDB Executive",750000,"East"
"1620","4-Room",480000,"North-East"
"1621","4-Room",376000,"East"
"1622","5-Room",598000,"East"
"1623","2-Room",450000,"Central"
"1624","3-Room",478000,"Central"
"1626","5-Room",8e+05,"Central"
"1627","4-Room",510000,"North-East"
"1628","5-Room",640000,"North-East"
"1629","5-Room",6e+05,"North-East"
"1630","HDB Executive",1300000,"Central"
"1631","3-Room",330000,"Central"
"1632","4-Room",652000,"Central"
"1633","4-Room",395000,"East"
"1634","3-Room",550000,"Central"
"1635","5-Room",850000,"Central"
"1636","4-Room",1200000,"Central"
"1637","5-Room",998000,"Central"
"1638","4-Room",728000,"Central"
"1639","3-Room",428888,"East"
"1640","3-Room",278000,"Central"
"1641","4-Room",630000,"East"
"1642","5-Room",520000,"West"
"1643","5-Room",550000,"West"
"1644","5-Room",560000,"North-East"
"1645","Multi-Gen/Jumbo",790000,"East"
"1646","Multi-Gen/Jumbo",720000,"North"
"1648","4-Room",560000,"North-East"
"1649","4-Room",6e+05,"Central"
"1650","4-Room",299000,"West"
"1651","Multi-Gen/Jumbo",858000,"East"
"1652","3-Room",628000,"Central"
"1653","HDB Executive",575000,"West"
"1654","5-Room",620000,"North-East"
"1655","5-Room",558888,"Central"
"1656","4-Room",728000,"East"
"1657","3-Room",465000,"Central"
"1658","5-Room",526000,"West"
"1659","3-Room",640000,"Central"
"1660","4-Room",415000,"Central"
"1661","3-Room",468000,"Central"
"1662","4-Room",480000,"North-East"
"1663","4-Room",468000,"North-East"
"1664","3-Room",490000,"East"
"1665","3-Room",380000,"East"
"1666","3-Room",470000,"East"
"1667","5-Room",580000,"North-East"
"1668","3-Room",3e+05,"Central"
"1669","5-Room",640000,"North-East"
"1670","5-Room",650000,"West"
"1671","3-Room",450000,"East"
"1673","3-Room",5e+05,"Central"
"1674","HDB Executive",680000,"North"
"1675","4-Room",420000,"North-East"
"1676","4-Room",720000,"Central"
"1677","5-Room",830000,"East"
"1678","3-Room",315000,"Central"
"1680","4-Room",518000,"North-East"
"1681","4-Room",825000,"Central"
"1682","4-Room",625000,"East"
"1683","3-Room",365000,"East"
"1684","3-Room",415000,"North-East"
"1685","5-Room",1188888,"Central"
"1686","HDB Executive",570000,"North"
"1687","4-Room",625000,"North-East"
"1688","5-Room",668000,"North-East"
"1689","4-Room",765000,"Central"
"1690","HDB Executive",858000,"East"
"1691","4-Room",480000,"North-East"
"1692","5-Room",9e+05,"Central"
"1693","5-Room",950000,"Central"
"1694","4-Room",588000,"North-East"
"1695","5-Room",538000,"East"
"1696","5-Room",510000,"North-East"
"1697","5-Room",575000,"North-East"
"1698","3-Room",888888,"East"
"1699","5-Room",630000,"North-East"
"1700","4-Room",695000,"East"
"1701","4-Room",375000,"North-East"
"1702","5-Room",520000,"North-East"
"1703","4-Room",799000,"Central"
"1704","3-Room",405888,"North-East"
"1705","4-Room",890000,"Central"
"1706","4-Room",8e+05,"Central"
"1707","4-Room",1050000,"Central"
"1708","4-Room",478000,"North"
"1709","3-Room",275000,"Central"
"1710","4-Room",538000,"North-East"
"1711","4-Room",830000,"Central"
"1712","4-Room",435000,"North-East"
"1713","5-Room",6e+05,"North-East"
"1714","HDB Executive",650000,"North-East"
"1715","5-Room",526000,"West"
"1717","5-Room",548000,"Central"
