address,flat_type,avg resale price,lon,lat
102A PUNGGOL FIELD SINGAPORE,4 ROOM,370000,103.9058942,1.398897
102A PUNGGOL FIELD SINGAPORE,5 ROOM,430000,103.9058942,1.398897
102B PUNGGOL FIELD SINGAPORE,5 ROOM,421250,103.905341,1.399207
102C PUNGGOL FIELD SINGAPORE,5 ROOM,417363.63636363635,103.905014,1.3988179
102D PUNGGOL FIELD SINGAPORE,4 ROOM,358750,103.9053397,1.3983645
102D PUNGGOL FIELD SINGAPORE,5 ROOM,414166.6666666667,103.9053397,1.3983645
103 AH HOOD RD SINGAPORE,5 ROOM,656777.6,103.8442647,1.3277145
103 ANG MO KIO AVE 3 SINGAPORE,3 ROOM,315000,103.8393332,1.3709821
103 ANG MO KIO AVE 3 SINGAPORE,4 ROOM,416500,103.8393332,1.3709821
103 BEDOK NTH AVE 4 SINGAPORE,3 ROOM,294916.6666666667,103.9374662,1.3334342
103 BEDOK NTH AVE 4 SINGAPORE,4 ROOM,385000,103.9374662,1.3334342
103 BEDOK RESERVOIR RD SINGAPORE,3 ROOM,273000,103.9094598,1.3287662
103 BEDOK RESERVOIR RD SINGAPORE,4 ROOM,378422,103.9094598,1.3287662
103 BISHAN ST 12 SINGAPORE,5 ROOM,754384,103.8483009,1.3455143
103 BISHAN ST 12 SINGAPORE,EXECUTIVE,950000,103.8483009,1.3455143
103 BT BATOK CTRL SINGAPORE,4 ROOM,433000,103.748063,1.3482234
103 BT BATOK CTRL SINGAPORE,5 ROOM,588333.3333333334,103.748063,1.3482234
103 BT PURMEI RD SINGAPORE,3 ROOM,354285.71428571426,103.8260191,1.2721228
103 BT PURMEI RD SINGAPORE,4 ROOM,490000,103.8260191,1.2721228
103 CLEMENTI ST 14 SINGAPORE,5 ROOM,721000,103.7688807,1.3226876
103 GANGSA RD SINGAPORE,3 ROOM,245000,103.7685186,1.3787279
103 HENDERSON CRES SINGAPORE,4 ROOM,449250,103.8215129,1.2898163
103 HOUGANG AVE 1 SINGAPORE,4 ROOM,422500,103.8905203,1.3553733
103 HOUGANG AVE 1 SINGAPORE,5 ROOM,535000,103.8905203,1.3553733
103 JLN RAJAH SINGAPORE,4 ROOM,478750,103.8528283,1.3274024
103 JLN RAJAH SINGAPORE,5 ROOM,685644.4444444445,103.8528283,1.3274024
103 JURONG EAST ST 13 SINGAPORE,5 ROOM,618571.4285714285,103.738013,1.3367082
103 LENGKONG TIGA SINGAPORE,4 ROOM,608000,103.910638,1.3259058
103 LENGKONG TIGA SINGAPORE,5 ROOM,765000,103.910638,1.3259058
103 PASIR RIS ST 12 SINGAPORE,4 ROOM,399500,103.9582933,1.3677335
103 PASIR RIS ST 12 SINGAPORE,5 ROOM,458750,103.9582933,1.3677335
103 POTONG PASIR AVE 1 SINGAPORE,3 ROOM,380000,103.869496,1.3341247
103 RIVERVALE WALK SINGAPORE,EXECUTIVE,575636.3636363636,103.90076,1.3830001
103 SERANGOON NTH AVE 1 SINGAPORE,4 ROOM,342400,103.8701338,1.3706539
103 SPOTTISWOODE PK RD SINGAPORE,5 ROOM,723614.6666666666,103.8353025,1.2747341
103 TAMPINES ST 11 SINGAPORE,3 ROOM,318166.6666666667,103.94619,1.3476411
103 TAMPINES ST 11 SINGAPORE,4 ROOM,399666.6666666667,103.94619,1.3476411
103 TECK WHYE LANE SINGAPORE,4 ROOM,310500,103.7535092,1.3771851
103 TOWNER RD SINGAPORE,4 ROOM,625000,103.8615925,1.3206725
103 TOWNER RD SINGAPORE,5 ROOM,768333.3333333334,103.8615925,1.3206725
103 WOODLANDS ST 13 SINGAPORE,3 ROOM,281666.6666666667,103.7810126,1.4366008
103 YISHUN RING RD SINGAPORE,3 ROOM,261714.2857142857,103.8289483,1.4319016
103A DEPOT RD SINGAPORE,4 ROOM,582300,103.8130871,1.2809284
103A EDGEFIELD PLAINS SINGAPORE,5 ROOM,424088.8888888889,103.904838,1.3982917
103B DEPOT RD SINGAPORE,4 ROOM,545000,103.8130737,1.2808119
