"","X","Address","Room","Model","Year","Area","Price","Type","lon","lat","address"
"1964",1964,"  Blk 88 Dawson Road Singapore","4-Room","Model A"," Built-2015","83 sqm / $963 psf(Built)","$860,000","Resale",103.8093768,1.2958156,"88 dawson rd, singapore 142088"
"1965",1965,"  Blk 63A Lengkok Bahru Singapore","4-Room","Standard"," Built-2001","94 sqm / $750 psf(Built)","$760,000","Resale",103.8153318,1.2897957,"63a lengkok bahru, block 63a, singapore 151063"
"1966",1966,"  Blk 268 Bishan Street 24 Singapore","4-Room","Model A"," Built-1992","102 sqm / $471 psf(Built)","$518,000","Resale",103.8425941,1.3577038,"268 bishan street 24, block 268, singapore 570268"
"1967",1967,"  Blk 135 Bishan Street 12 Singapore","5-Room","Improved"," Built-1987","121 sqm / $491 psf(Built)","$640,000","Resale",103.851245,1.3445821,"135 bishan street 12, block 135, singapore 570135"
"1968",1968,"  Blk 934 Tampines Street 91 Singapore","4-Room","Model A"," Built-1985","104 sqm / $411 psf(Built)","$460,000","Resale",103.9401855,1.3452736,"934 tampines street 91, block 934, singapore 520934"
"1969",1969,"  Blk 519B Centrale 8 At Tampines Singapore","4-Room","Model A"," Built-2014","84 sqm / $730 psf(Built)","$660,000","Resale",103.9402308,1.3568025,"519 tampines central 8, singapore 523519"
"1970",1970,"  Blk 678B Punggol Drive Singapore","5-Room","Model A"," Built-2015","113 sqm / $557 psf(Built)","$678,000","Resale",103.9090542,1.4058031,"678b punggol dr, singapore 822678"
"1971",1971,"  Blk 103 Henderson Crescent Singapore","4-Room","Standard"," Built-1970","74 sqm / $501 psf(Built)","$400,000","Resale",103.8215129,1.2898163,"103 henderson cres, block 103, singapore 150103"
"1972",1972,"  Blk 680 Woodlands Avenue 6 Singapore","5-Room","Improved"," Built-1998","123 sqm / $362 psf(Built)","$480,000","Resale",103.8023437,1.4397882,"680 woodlands ave 6, singapore 730680"
"1973",1973,"  Blk 415B Fernvale Link Singapore","5-Room","Improved"," Built-2016","113 sqm / $434 psf(Built)","$528,000","Resale",103.8801605,1.389669,"415b fernvale link, singapore 791415"
"1974",1974,"  Blk 270 Tampines Street 21 Singapore","4-Room","Model A"," Built-1984","105 sqm / $384 psf(Built)","$435,000","Resale",103.9488878,1.3499804,"270 tampines street 21, block 270, singapore 520270"
"1975",1975,"  Blk 336 Ubi Avenue 1 Singapore","5-Room","Improved"," Built-1986","120 sqm / $406 psf(Built)","$525,000","Resale",103.9020287,1.3258088,"336 ubi ave 1, block 336, singapore 400336"
"1976",1976,"  Blk 167 Bishan Street 13 Singapore","4-Room","Model A"," Built-1988","104 sqm / $445 psf(Built)","$499,000","Resale",103.8555479,1.3479618,"167 bishan street 13, block 167, singapore 570167"
"1977",1977,"  Blk 475D Parkland Residences Singapore","3-Room","Model A"," Built-2014","92 sqm / $655 psf(Built)","$649,000","Resale",103.9002105,1.375868,"475a upper serangoon cres, singapore 531475"
"1978",1978,"  Blk 6B Boon Tiong Road Singapore","4-Room","Model A"," Built-2005","100 sqm / $789 psf(Built)","$849,000","Resale",103.8309096,1.2866383,"6b boon tiong rd, block 6b, singapore 165006"
"1979",1979,"  Blk 203 Toa Payoh North Singapore","3-Room","Improved(modified)"," Built-1982","65 sqm / $411 psf(Built)","$288,000","Resale",103.8491162,1.3420685,"203 toa payoh n, block 203, singapore 310203"
"1980",1980,"  Blk 610 Ang Mo Kio Avenue 4 Singapore","4-Room","New Generation"," Built-1980","95 sqm / $457 psf(Built)","$468,000","Resale",103.8394238,1.3798478,"610 ang mo kio ave 4, block 610, singapore 560610"
"1981",1981,"  Blk 522 Hougang Avenue 6 Singapore","HDB Executive","Maisonette"," Built-1987","145 sqm / $473 psf(Built)","$738,888","Resale",103.8918795,1.3737485,"522 hougang ave 6, block 522, singapore 530522"
"1982",1982,"  Blk 662B Edgedale Plains Singapore","4-Room","Model A"," Built-2016","92 sqm / $464 psf(Built)","$460,000","Resale",103.9187113,1.4017436,"662b edgedale plains, singapore"
"1983",1983,"  Blk 18 Bedok South Road Singapore","3-Room","Standard"," Built-1976","65 sqm / $414 psf(Built)","$290,000","Resale",103.9347465,1.3205036,"18 bedok s rd, block 18, singapore 460018"
"1984",1984,"  Blk 816 Jellicoe Road Singapore","5-Room","Improved"," Built-2003","110 sqm / $842 psf(Built)","$998,000","Resale",103.8611667,1.307099,"816 jellicoe rd, block 816, singapore 200816"
