"","Address","Info","Area","Price"
"205","  Blk 342 Clementi Avenue 5","5 Room •Improved • Built-1979","123 sqm / $475 psf(Built)","$630,000"
"206","  Blk 148 Bishan Street 11","Multi-Gen/Jumbo •Multi Generation • Built-1987","134 sqm / $596 psf(Built)","$860,000"
"207","  Blk 475C Parkland Residences","3 Room •Model A • Built-2014","65 sqm / $785 psf(Built)","$550,000"
"208","  Blk 92 Dawson Road","4 Room •Improved • Built-2016","97 sqm / $946 psf(Built)","$988,000"
"209","  Blk 348C Adora Green","4 Room •Model A • Built-2013","92 sqm / $574 psf(Built)","$568,888"
"210","  Blk 890A Tampines Avenue 1","4 Room •Model A • Built-2015","93 sqm / $539 psf(Built)","$540,000"
"211","  Blk 4 Queens Road","3 Room •Improved • Built-1974","73 sqm / $545 psf(Built)","$428,888"
"212","  Blk 247 Hougang Avenue 3","3 Room •New Generation • Built-1984","67 sqm / $485 psf(Built)","$350,000"
"213","  Blk 663A Punggol Drive","5 Room •Improved • Built-2015","110 sqm / $489 psf(Built)","$579,999"
"214","  Blk 91 Dawson Road","4 Room •Model A • Built-2016","83 sqm / $979 psf(Built)","$875,000"
"215","  Blk 260A Punggol Way","4 Room •Model A • Built-2016","93 sqm / $507 psf(Built)","$508,000"
"216","  Blk 440A Fernvale Link","5 Room •Improved • Built-2015","113 sqm / $467 psf(Built)","$568,000"
"217","  Blk 807C Chai Chee Road","5 Room •Model A • Built-2015","113 sqm / $657 psf(Built)","$800,000"
"218","  Blk 220 Serangoon Avenue 4","4 Room •New Generation • Built-1984","93 sqm / $549 psf(Built)","$550,000"
"219","  Blk 101 Bishan Street 12","5 Room •Improved • Built-1987","121 sqm / $599 psf(Built)","$780,000"
"220","  Blk 502 Hougang Avenue 8","3 Room •Improved • Built-1987","121 sqm / $403 psf(Built)","$526,000"
"221","  Blk 310 Shunfu Road","5 Room •Improved • Built-1984","121 sqm / $522 psf(Built)","$680,000"
"222","  Blk 123 Paya Lebar Way","5 Room •Improved • Built-1980","117 sqm / $501 psf(Built)","$632,000"
"223","  Blk 522 Hougang Avenue 6","HDB Executive •Maisonette • Built-1987","145 sqm / $473 psf(Built)","$738,888"
"224","  Blk 266C Punggol Way","4 Room •Model A • Built-2015","92 sqm / $484 psf(Built)","$480,000"
"225","  Blk 73A Redhill Road","5 Room •Model A • Built-2005","115 sqm / $636 psf(Built)","$788,000"
"226","  Blk 88 Telok Blangah Heights","4 Room •Model A • Built-2003","85 sqm / $708 psf(Built)","$648,000"
"227","  Blk 8 Marine Terrace","3 Room •Improved • Built-1975","65 sqm / $600 psf(Built)","$420,000"
"228","  Blk 202A Punggol Field","5 Room •Improved • Built-2004","110 sqm / $405 psf(Built)","$480,000"
"229","  Blk 846 Tampines Street 82","3 Room •Standard • Built-1986","74 sqm / $451 psf(Built)","$360,000"
"230","  Blk 135 Bishan Street 12","5 Room •Improved • Built-1987","121 sqm / $491 psf(Built)","$640,000"
"231","  Blk 1 Ghim Moh Road","3 Room •Standard • Built-1976","65 sqm / $554 psf(Built)","$388,000"
"232","  Blk 43 Marine Crescent","5 Room •Improved • Built-1975","120 sqm / $571 psf(Built)","$738,000"
"233","  Blk 14A Upper Boon Keng Road","4 Room •Model A • Built-1999","101 sqm / $643 psf(Built)","$700,000"
"234","  Blk 469C Sengkang West Way","4 Room •New Generation • Built-2016","93 sqm / $499 psf(Built)","$500,000"
"235","  Blk 37 Telok Blangah Rise","5 Room •Improved • Built-1976","118 sqm / $469 psf(Built)","$595,999"
"236","  Blk 690 Jurong West Central 1","5 Room •Design & Built • Built-1998","119 sqm / $394 psf(Built)","$505,000"
"237","  Blk 890A Tampines Avenue 1","4 Room •Model A • Built-2015","93 sqm / $539 psf(Built)","$540,000"
"238","  Blk 103 Ah Hood Road","5 Room •Improved • Built-1981","118 sqm / $531 psf(Built)","$675,000"
"239","  Blk 87 Dawson Road","4 Room •Model A • Built-2016","83 sqm / $994 psf(Built)","$888,000"
